month,metric_name,metric_field,current_value,baseline_average,baseline_stddev,z_score,threshold,alert_flag,severity,note
2025-03,Average discount rate,avg_discount_rate,0.1148,0.1142,0.0025,0.2264,1.6,normal,normal,Within rolling six-month baseline range.
2025-03,Average fulfillment days,avg_fulfillment_days,3.52,3.5017,0.0679,0.2699,1.6,normal,normal,Within rolling six-month baseline range.
2025-03,Gross margin rate,margin_rate,0.3209,0.3246,0.0029,-1.2713,1.8,normal,normal,Within rolling six-month baseline range.
2025-03,Monthly revenue,revenue,320902.28,315297.5567,45808.6549,0.1224,1.6,normal,normal,Within rolling six-month baseline range.
2025-04,Average discount rate,avg_discount_rate,0.1121,0.1143,0.0025,-0.876,1.6,normal,normal,Within rolling six-month baseline range.
2025-04,Average fulfillment days,avg_fulfillment_days,3.45,3.495,0.0637,-0.7064,1.6,normal,normal,Within rolling six-month baseline range.
2025-04,Gross margin rate,margin_rate,0.3214,0.3236,0.003,-0.7402,1.8,normal,normal,Within rolling six-month baseline range.
2025-04,Monthly revenue,revenue,334642.02,325995.1367,37646.77,0.2297,1.6,normal,normal,Within rolling six-month baseline range.
2025-05,Average discount rate,avg_discount_rate,0.1142,0.1136,0.0025,0.2373,1.6,normal,normal,Within rolling six-month baseline range.
2025-05,Average fulfillment days,avg_fulfillment_days,3.46,3.5033,0.0531,-0.8157,1.6,normal,normal,Within rolling six-month baseline range.
2025-05,Gross margin rate,margin_rate,0.3229,0.3237,0.0029,-0.2883,1.8,normal,normal,Within rolling six-month baseline range.
2025-05,Monthly revenue,revenue,327104.22,335939.8467,29949.6241,-0.295,1.6,normal,normal,Within rolling six-month baseline range.
2025-06,Average discount rate,avg_discount_rate,0.1108,0.1142,0.0021,-1.6314,1.6,normal,normal,Within rolling six-month baseline range.
2025-06,Average fulfillment days,avg_fulfillment_days,3.44,3.4983,0.0555,-1.051,1.6,normal,normal,Within rolling six-month baseline range.
2025-06,Gross margin rate,margin_rate,0.3233,0.3229,0.0023,0.1511,1.8,normal,normal,Within rolling six-month baseline range.
2025-06,Monthly revenue,revenue,350596.03,328437.9383,25211.0632,0.8789,1.6,normal,normal,Within rolling six-month baseline range.
