order_id,order_date,order_month,customer_id,category_id,region,channel,units,revenue,cost,profit,margin_rate,discount_rate,fulfillment_days
O000057,2024-01-06,2024-01,C01097,CAT001,South,Marketplace,3,782.57,560,222.57,0.2844,0.145,2
O000058,2024-01-11,2024-01,C00188,CAT004,Midwest,Online,2,166.34,108.8,57.54,0.3459,0.035,5
O000059,2024-01-08,2024-01,C00918,CAT002,South,Marketplace,2,232.63,154.72,77.91,0.3349,0.178,1
O000060,2024-01-24,2024-01,C00615,CAT003,South,Retail Store,4,823.13,508.73,314.4,0.382,0.004,1
O000061,2024-01-16,2024-01,C01145,CAT005,Midwest,Retail Store,3,338.22,229.4,108.82,0.3217,0.152,5
O000062,2024-01-08,2024-01,C00626,CAT002,South,Marketplace,3,370.78,247.87,122.91,0.3315,0.184,2
O000063,2024-01-22,2024-01,C00471,CAT003,South,Marketplace,3,457.41,270.23,187.18,0.4092,0.139,3
O000064,2024-01-12,2024-01,C00075,CAT005,Northeast,Retail Store,3,343.86,236.06,107.8,0.3135,0.159,2
O000065,2024-01-14,2024-01,C00785,CAT004,Midwest,Retail Store,4,380.51,253.68,126.83,0.3333,0.158,3
O000066,2024-01-19,2024-01,C00197,CAT001,South,Retail Store,4,906.57,645.38,261.19,0.2881,0.148,4
O000067,2024-01-27,2024-01,C00684,CAT001,Midwest,Retail Store,1,232.47,168.52,63.95,0.2751,0.005,3
O000068,2024-01-10,2024-01,C00473,CAT004,South,Marketplace,1,65.89,43.97,21.92,0.3327,0.21,2
O000069,2024-01-06,2024-01,C00489,CAT002,Midwest,Marketplace,4,550.5,378.37,172.13,0.3127,0.193,2
O000070,2024-01-03,2024-01,C00519,CAT002,South,Marketplace,1,114.05,74.52,39.53,0.3466,0.173,5
O000071,2024-01-15,2024-01,C00704,CAT001,Midwest,Online,1,258.34,193.24,65.1,0.252,0.16,1
O000072,2024-01-02,2024-01,C01085,CAT001,Midwest,Online,3,646.03,489.04,156.99,0.243,0.129,7
O000073,2024-01-09,2024-01,C01076,CAT003,Northeast,Marketplace,4,640.8,387.08,253.72,0.3959,0.142,3
O000074,2024-01-13,2024-01,C01116,CAT005,Midwest,Retail Store,3,364.42,251.29,113.13,0.3104,0.133,3
O000075,2024-01-09,2024-01,C00835,CAT005,Northeast,Marketplace,4,472.54,323.69,148.85,0.315,0.172,5
O000076,2024-01-13,2024-01,C00628,CAT004,Midwest,Online,4,425.95,272.86,153.09,0.3594,0.025,5
O000077,2024-01-21,2024-01,C00566,CAT003,South,Retail Store,4,707.03,443.67,263.36,0.3725,0.076,4
O000078,2024-01-22,2024-01,C01188,CAT004,West,Retail Store,2,167.78,109.4,58.38,0.348,0.148,1
O000079,2024-01-26,2024-01,C01009,CAT001,Northeast,Marketplace,1,237.48,174.01,63.47,0.2673,0.138,5
O000080,2024-01-25,2024-01,C01119,CAT002,Midwest,Marketplace,3,416.46,275.13,141.33,0.3394,0.147,3
O000081,2024-01-04,2024-01,C00197,CAT001,South,Online,1,257.13,182.86,74.27,0.2888,0.004,6
O000082,2024-01-11,2024-01,C00609,CAT002,Midwest,Marketplace,1,139.99,95.74,44.25,0.3161,0.165,2
O000083,2024-01-14,2024-01,C00051,CAT004,West,Online,4,348.41,230.26,118.15,0.3391,0.033,7
O000084,2024-01-21,2024-01,C00823,CAT004,Midwest,Online,1,84.67,54.39,30.28,0.3576,0.127,4
O000085,2024-01-19,2024-01,C00950,CAT001,Midwest,Retail Store,1,290.25,207.76,82.49,0.2842,0.032,1
O000086,2024-01-11,2024-01,C00617,CAT002,West,Marketplace,4,453.27,293.35,159.92,0.3528,0.159,2
O000087,2024-01-01,2024-01,C01059,CAT003,Midwest,Marketplace,4,690.64,407.51,283.13,0.41,0.167,5
O000088,2024-01-13,2024-01,C01135,CAT004,Northeast,Marketplace,2,177.52,118.01,59.51,0.3352,0.131,5
O000089,2024-01-06,2024-01,C00028,CAT004,West,Marketplace,1,90.75,57.13,33.62,0.3705,0.208,1
O000090,2024-01-14,2024-01,C00658,CAT005,South,Marketplace,1,125.62,85.98,39.64,0.3156,0.136,2
O000091,2024-01-06,2024-01,C01010,CAT005,West,Marketplace,1,112.46,79.57,32.89,0.2925,0.216,2
O000092,2024-01-27,2024-01,C00760,CAT002,South,Online,2,222.36,152.64,69.72,0.3135,0.155,6
O000093,2024-01-17,2024-01,C00175,CAT002,West,Online,2,320.84,213.71,107.13,0.3339,0.086,4
O000094,2024-01-22,2024-01,C00790,CAT005,South,Retail Store,1,103.53,69.51,34.02,0.3286,0.095,1
O000095,2024-01-04,2024-01,C00803,CAT003,Midwest,Online,1,170.56,99.31,71.25,0.4177,0.138,1
O000096,2024-01-22,2024-01,C00817,CAT002,Midwest,Marketplace,2,266.45,176.63,89.82,0.3371,0.134,1
O000097,2024-01-20,2024-01,C00901,CAT002,Northeast,Online,3,451.67,309.81,141.86,0.3141,0.15,5
O000098,2024-01-26,2024-01,C00447,CAT003,South,Marketplace,3,519.37,308.03,211.34,0.4069,0.141,2
O000099,2024-01-09,2024-01,C00619,CAT002,South,Retail Store,2,307.43,201.04,106.39,0.3461,0.028,2
O000100,2024-01-21,2024-01,C00581,CAT002,Midwest,Online,3,364.24,249.5,114.74,0.315,0.106,7
O000101,2024-01-23,2024-01,C00209,CAT005,Midwest,Online,2,236.34,160.2,76.14,0.3222,0.015,5
O000102,2024-01-27,2024-01,C00715,CAT001,Midwest,Online,4,867.63,620.13,247.5,0.2853,0.038,5
O000103,2024-01-18,2024-01,C01013,CAT003,Midwest,Retail Store,1,152.65,95.2,57.45,0.3764,0.124,2
O000104,2024-01-02,2024-01,C00872,CAT004,Midwest,Marketplace,1,69.81,44.72,25.09,0.3594,0.193,1
O000105,2024-01-18,2024-01,C00494,CAT001,West,Retail Store,4,1169.5,834.86,334.64,0.2861,0.047,4
O000106,2024-01-07,2024-01,C01024,CAT003,South,Retail Store,3,545.08,318.4,226.68,0.4159,0.119,4
O000107,2024-01-18,2024-01,C01065,CAT004,West,Online,4,405.77,257.27,148.5,0.366,0.007,6
O000108,2024-01-10,2024-01,C00705,CAT001,West,Marketplace,2,383,288.66,94.34,0.2463,0.227,2
O000109,2024-01-04,2024-01,C00350,CAT002,West,Online,1,115.04,78.54,36.5,0.3173,0.14,3
O000110,2024-01-19,2024-01,C00933,CAT003,Northeast,Marketplace,1,166.29,104.25,62.04,0.3731,0.147,4
O000111,2024-01-27,2024-01,C00374,CAT005,West,Retail Store,1,136.37,90.52,45.85,0.3362,0.049,3
O000112,2024-01-05,2024-01,C00882,CAT004,Midwest,Online,2,170.29,110.89,59.4,0.3488,0.094,4
O000113,2024-01-13,2024-01,C01023,CAT004,Northeast,Marketplace,4,317.57,206.27,111.3,0.3505,0.166,1
O000114,2024-01-14,2024-01,C00149,CAT003,South,Online,2,345.92,216.76,129.16,0.3734,0.042,3
O000115,2024-01-12,2024-01,C01024,CAT004,South,Retail Store,4,407.86,261.42,146.44,0.359,0.001,4
O000116,2024-01-02,2024-01,C00708,CAT005,West,Online,2,255.26,173.18,82.08,0.3216,0.123,6
O000117,2024-01-20,2024-01,C00599,CAT005,West,Marketplace,1,99.24,70.26,28.98,0.292,0.151,3
O000118,2024-01-05,2024-01,C00144,CAT001,South,Online,4,928.5,695.49,233.01,0.251,0.099,1
O000119,2024-01-16,2024-01,C01039,CAT001,South,Online,1,229.81,164.92,64.89,0.2824,0.045,1
O000120,2024-01-14,2024-01,C00158,CAT004,South,Online,1,92.92,61.32,31.6,0.3401,0.1,3
O000121,2024-01-14,2024-01,C00476,CAT002,West,Marketplace,3,408.94,275.81,133.13,0.3255,0.178,1
O000122,2024-01-23,2024-01,C00721,CAT005,Northeast,Marketplace,3,261.03,175.42,85.61,0.328,0.219,3
O000123,2024-01-27,2024-01,C01185,CAT005,South,Online,2,201.69,133.4,68.29,0.3386,0.142,3
O000124,2024-01-14,2024-01,C01094,CAT001,Northeast,Online,3,760.21,549.24,210.97,0.2775,0.009,8
O000125,2024-01-07,2024-01,C00212,CAT005,South,Online,1,112.12,78.2,33.92,0.3025,0.138,7
O000126,2024-01-21,2024-01,C00440,CAT002,West,Marketplace,4,442.94,303.11,139.83,0.3157,0.134,5
O000127,2024-01-07,2024-01,C00029,CAT005,West,Retail Store,2,247.26,169.88,77.38,0.3129,0.123,3
O000128,2024-01-08,2024-01,C00533,CAT002,South,Marketplace,4,490.07,314.87,175.2,0.3575,0.17,2
O000129,2024-01-13,2024-01,C00130,CAT004,Northeast,Marketplace,2,158.58,100.41,58.17,0.3668,0.133,4
O000130,2024-01-08,2024-01,C00355,CAT003,Northeast,Marketplace,4,555.05,340.65,214.4,0.3863,0.229,1
O000131,2024-01-24,2024-01,C00249,CAT001,West,Retail Store,4,935.15,669.93,265.22,0.2836,0.129,3
O000132,2024-01-16,2024-01,C00176,CAT005,West,Marketplace,4,392,265.36,126.64,0.3231,0.179,4
O000133,2024-01-23,2024-01,C00918,CAT001,South,Online,4,810.25,601.38,208.87,0.2578,0.107,7
O000134,2024-01-14,2024-01,C00856,CAT004,Midwest,Marketplace,2,140.17,89.66,50.51,0.3603,0.209,4
O000135,2024-01-17,2024-01,C01097,CAT001,South,Retail Store,3,883.91,628.19,255.72,0.2893,0.066,3
O000136,2024-01-14,2024-01,C00404,CAT001,West,Marketplace,2,426.53,310.87,115.66,0.2712,0.192,5
O000137,2024-01-05,2024-01,C00263,CAT005,West,Retail Store,3,280.5,189.58,90.92,0.3241,0.139,2
O000138,2024-01-17,2024-01,C00980,CAT004,South,Retail Store,1,77.69,51.13,26.56,0.3419,0.136,4
O000139,2024-01-14,2024-01,C00101,CAT003,Northeast,Retail Store,4,806.15,486.77,319.38,0.3962,0.017,5
O000140,2024-01-15,2024-01,C01101,CAT004,Midwest,Retail Store,1,75.74,49.28,26.46,0.3494,0.128,5
O000141,2024-01-03,2024-01,C00302,CAT002,Northeast,Online,1,132.95,90.9,42.05,0.3163,0.036,8
O000142,2024-01-15,2024-01,C00515,CAT002,Midwest,Marketplace,1,118.28,76.4,41.88,0.3541,0.206,2
O000143,2024-01-18,2024-01,C00709,CAT004,South,Retail Store,2,155.64,96.85,58.79,0.3777,0.142,3
O000144,2024-01-12,2024-01,C00154,CAT005,South,Online,1,136.6,90.56,46.04,0.337,0.045,7
O000145,2024-01-11,2024-01,C00582,CAT005,Midwest,Marketplace,1,116.89,82.67,34.22,0.2928,0.167,1
O000146,2024-01-16,2024-01,C00323,CAT003,Midwest,Marketplace,3,365.01,224.67,140.34,0.3845,0.186,3
O000147,2024-01-08,2024-01,C00080,CAT003,South,Retail Store,4,553.94,331.75,222.19,0.4011,0.158,2
O000148,2024-01-12,2024-01,C00538,CAT001,Northeast,Online,1,200.18,143.06,57.12,0.2853,0.118,3
O000149,2024-01-27,2024-01,C00425,CAT004,West,Online,3,325.38,211.63,113.75,0.3496,0.059,3
O000150,2024-01-19,2024-01,C00611,CAT005,Midwest,Marketplace,3,325.26,217.26,108,0.332,0.186,3
O000151,2024-01-20,2024-01,C00548,CAT002,South,Retail Store,2,233.45,159.81,73.64,0.3154,0.113,3
O000152,2024-01-22,2024-01,C01138,CAT002,Midwest,Marketplace,4,554.53,377.63,176.9,0.319,0.186,1
O000153,2024-01-06,2024-01,C00571,CAT001,South,Online,3,814.81,605.71,209.1,0.2566,0.116,1
O000154,2024-01-09,2024-01,C01188,CAT002,West,Retail Store,2,286.89,189.83,97.06,0.3383,0.023,4
O000155,2024-01-02,2024-01,C00371,CAT002,South,Retail Store,2,332.35,228.64,103.71,0.3121,0.02,2
O000156,2024-01-05,2024-01,C00753,CAT002,South,Marketplace,2,234.67,152.56,82.11,0.3499,0.218,5
O000157,2024-01-01,2024-01,C00924,CAT004,West,Retail Store,2,206.21,137.88,68.33,0.3314,0.071,1
O000158,2024-01-10,2024-01,C00524,CAT001,Midwest,Retail Store,3,826.04,601.36,224.68,0.272,0.065,5
O000159,2024-01-04,2024-01,C00113,CAT002,Midwest,Retail Store,3,430.4,279.62,150.78,0.3503,0.016,4
O000160,2024-01-14,2024-01,C00894,CAT004,Midwest,Online,2,179.64,119.72,59.92,0.3336,0.05,7
O000161,2024-01-21,2024-01,C00330,CAT004,Midwest,Online,2,152.43,98.54,53.89,0.3535,0.157,3
O000162,2024-01-14,2024-01,C01084,CAT004,Northeast,Marketplace,2,155.42,97.5,57.92,0.3727,0.201,1
O000163,2024-01-22,2024-01,C00683,CAT004,Northeast,Marketplace,4,337.55,211.96,125.59,0.3721,0.143,2
O000164,2024-01-13,2024-01,C00859,CAT004,South,Marketplace,2,174.97,112.74,62.23,0.3557,0.177,5
O000165,2024-01-19,2024-01,C00167,CAT002,South,Marketplace,4,585.09,387.19,197.9,0.3382,0.15,1
O000166,2024-01-04,2024-01,C00422,CAT004,West,Marketplace,4,279.18,174.4,104.78,0.3753,0.194,5
O000167,2024-01-15,2024-01,C00082,CAT005,Midwest,Retail Store,3,353.95,241.46,112.49,0.3178,0.143,2
O000168,2024-01-27,2024-01,C00483,CAT004,Midwest,Marketplace,1,65.49,43.5,21.99,0.3358,0.209,1
O000169,2024-01-12,2024-01,C00612,CAT002,Northeast,Marketplace,2,236.82,161.05,75.77,0.3199,0.23,1
O000170,2024-01-24,2024-01,C00264,CAT003,South,Marketplace,1,127.94,79.07,48.87,0.382,0.219,4
O000171,2024-01-01,2024-01,C01054,CAT001,Northeast,Marketplace,4,792.52,587.5,205.02,0.2587,0.163,4
O000172,2024-01-13,2024-01,C00304,CAT004,South,Online,4,379.87,239.25,140.62,0.3702,0.083,5
O000173,2024-01-25,2024-01,C00162,CAT002,South,Marketplace,3,357.94,244.41,113.53,0.3172,0.179,5
O000174,2024-01-24,2024-01,C00437,CAT002,Northeast,Retail Store,2,263.52,175.77,87.75,0.333,0.035,2
O000175,2024-01-26,2024-01,C00587,CAT004,West,Marketplace,4,361.6,237.22,124.38,0.344,0.157,4
O000176,2024-01-18,2024-01,C00152,CAT001,Northeast,Marketplace,3,665.01,473.2,191.81,0.2884,0.166,2
O000177,2024-01-19,2024-01,C00306,CAT004,South,Online,2,168.82,111.14,57.68,0.3417,0.104,7
O000178,2024-01-25,2024-01,C00868,CAT004,West,Retail Store,4,285.6,181.99,103.61,0.3628,0.12,4
O000179,2024-01-02,2024-01,C00027,CAT003,South,Retail Store,4,683.45,415.71,267.74,0.3917,0.022,3
O000180,2024-01-18,2024-01,C00426,CAT003,Midwest,Online,1,189.05,110.59,78.46,0.415,0.01,3
O000181,2024-01-08,2024-01,C00181,CAT003,West,Marketplace,2,273.45,163.24,110.21,0.403,0.189,2
O000182,2024-01-26,2024-01,C00501,CAT003,Northeast,Online,2,391.27,231.63,159.64,0.408,0.09,7
O000183,2024-01-03,2024-01,C00068,CAT004,Midwest,Retail Store,1,100.23,63.59,36.64,0.3656,0.073,3
O000184,2024-01-18,2024-01,C00364,CAT003,Midwest,Retail Store,1,148.78,88.1,60.68,0.4079,0.084,2
O000185,2024-01-09,2024-01,C01017,CAT001,South,Marketplace,2,460.8,327.9,132.9,0.2884,0.131,3
O000186,2024-01-06,2024-01,C00090,CAT001,Midwest,Online,3,653.76,479.82,173.94,0.2661,0.13,3
O000187,2024-01-02,2024-01,C00771,CAT002,Midwest,Retail Store,1,147.2,98.3,48.9,0.3322,0.032,2
O000188,2024-01-05,2024-01,C01155,CAT005,West,Online,2,208.32,139.96,68.36,0.3281,0.095,8
O000189,2024-01-08,2024-01,C00394,CAT004,Midwest,Online,2,183.76,122.49,61.27,0.3334,0.16,7
O000190,2024-01-27,2024-01,C00362,CAT005,South,Online,3,403.13,278.22,124.91,0.3099,0.011,7
O000191,2024-01-06,2024-01,C00038,CAT001,West,Retail Store,3,675.04,501.2,173.84,0.2575,0.153,3
O000192,2024-01-17,2024-01,C00739,CAT001,Northeast,Retail Store,2,573.05,434.07,138.98,0.2425,0.003,4
O000193,2024-01-23,2024-01,C00601,CAT005,Midwest,Retail Store,4,417.5,286.2,131.3,0.3145,0.103,1
O000194,2024-01-01,2024-01,C00234,CAT002,West,Online,2,252.81,166.32,86.49,0.3421,0.07,4
O000195,2024-01-15,2024-01,C00965,CAT005,West,Marketplace,3,361.4,246.47,114.93,0.318,0.136,4
O000196,2024-01-17,2024-01,C01094,CAT002,Northeast,Online,2,248.03,159.36,88.67,0.3575,0.09,8
O000197,2024-01-25,2024-01,C00278,CAT003,Midwest,Online,3,546.28,317.69,228.59,0.4184,0.073,3
O000198,2024-01-01,2024-01,C01169,CAT003,South,Retail Store,2,307.48,186.4,121.08,0.3938,0.036,1
O000199,2024-01-17,2024-01,C00319,CAT002,Midwest,Marketplace,4,568.7,387.26,181.44,0.319,0.182,1
O000200,2024-01-25,2024-01,C00243,CAT005,West,Marketplace,1,98.86,69.33,29.53,0.2987,0.201,5
O000201,2024-01-21,2024-01,C00562,CAT005,Midwest,Online,2,222.13,156.26,65.87,0.2965,0.043,6
O000202,2024-01-27,2024-01,C00632,CAT004,South,Online,2,138.75,86.39,52.36,0.3774,0.153,5
O000203,2024-01-23,2024-01,C00043,CAT001,Northeast,Online,1,207.4,152.24,55.16,0.266,0.126,4
O000204,2024-01-08,2024-01,C01168,CAT002,Midwest,Marketplace,4,495.15,317.38,177.77,0.359,0.224,3
O000205,2024-01-17,2024-01,C00691,CAT003,South,Retail Store,4,657.95,394.81,263.14,0.3999,0.068,3
O000206,2024-01-10,2024-01,C00272,CAT003,Northeast,Online,3,534.18,322.91,211.27,0.3955,0.035,4
O000207,2024-01-16,2024-01,C01184,CAT004,Midwest,Retail Store,3,269.59,176.73,92.86,0.3444,0.067,3
O000208,2024-01-14,2024-01,C01171,CAT001,South,Retail Store,4,1076.7,805.34,271.36,0.252,0.051,5
O000209,2024-01-22,2024-01,C00071,CAT002,West,Marketplace,1,151.46,101.92,49.54,0.3271,0.131,3
O000210,2024-01-06,2024-01,C00541,CAT004,West,Retail Store,3,262.95,164.9,98.05,0.3729,0.089,5
O000211,2024-01-01,2024-01,C00325,CAT004,Midwest,Retail Store,3,318.78,201.21,117.57,0.3688,0.054,5
O000212,2024-01-25,2024-01,C01139,CAT002,Northeast,Online,3,480.45,319.22,161.23,0.3356,0.054,2
O000213,2024-01-09,2024-01,C00625,CAT003,Northeast,Online,2,340.43,212.54,127.89,0.3757,0.102,6
O000214,2024-01-20,2024-01,C00725,CAT005,West,Retail Store,2,287.8,202.38,85.42,0.2968,0.003,1
O000215,2024-01-24,2024-01,C00199,CAT003,Midwest,Retail Store,1,213.02,126.44,86.58,0.4064,0.006,5
O000216,2024-01-01,2024-01,C00590,CAT003,Northeast,Online,4,574.81,361.44,213.37,0.3712,0.098,6
O000217,2024-01-04,2024-01,C00051,CAT004,West,Retail Store,4,405.88,266.8,139.08,0.3427,0.104,1
O000218,2024-01-01,2024-01,C00416,CAT002,Midwest,Online,4,465.28,310.46,154.82,0.3327,0.137,6
O000219,2024-01-04,2024-01,C00736,CAT002,South,Marketplace,1,128.81,83.22,45.59,0.3539,0.22,4
O000220,2024-01-10,2024-01,C00972,CAT003,Northeast,Online,2,383.18,240.77,142.41,0.3717,0.1,4
O000221,2024-01-09,2024-01,C00279,CAT004,South,Retail Store,1,105.88,66.92,38.96,0.368,0.033,2
O000222,2024-01-11,2024-01,C00077,CAT001,Midwest,Retail Store,1,216.69,160.97,55.72,0.2571,0.071,2
O000223,2024-01-06,2024-01,C00143,CAT002,West,Marketplace,4,388.84,261.75,127.09,0.3268,0.221,4
O000224,2024-01-15,2024-01,C00923,CAT001,West,Online,3,585.35,431.5,153.85,0.2628,0.129,4
O000225,2024-01-24,2024-01,C00840,CAT002,Midwest,Online,1,157.6,104.68,52.92,0.3358,0.013,8
O000226,2024-01-27,2024-01,C00639,CAT003,Midwest,Marketplace,1,127.6,75.48,52.12,0.4085,0.201,1
O000227,2024-01-05,2024-01,C00425,CAT004,West,Retail Store,2,211.23,140.15,71.08,0.3365,0.014,1
O000228,2024-01-04,2024-01,C00585,CAT003,Midwest,Retail Store,1,148,89.45,58.55,0.3956,0.078,2
O000229,2024-01-13,2024-01,C00150,CAT004,Midwest,Online,1,85.16,53.77,31.39,0.3686,0.15,5
O000230,2024-01-06,2024-01,C00904,CAT004,Northeast,Marketplace,1,88.54,55.51,33.03,0.3731,0.177,5
O000231,2024-01-11,2024-01,C00982,CAT005,West,Retail Store,3,351.85,243.47,108.38,0.308,0.085,3
O000232,2024-01-19,2024-01,C01126,CAT003,West,Marketplace,2,307.03,181.41,125.62,0.4091,0.181,5
O000233,2024-01-09,2024-01,C00715,CAT002,Midwest,Online,3,457.54,307.64,149.9,0.3276,0.13,8
O000234,2024-01-08,2024-01,C00723,CAT004,Northeast,Online,1,95.8,63.89,31.91,0.3331,0.047,8
O000235,2024-01-11,2024-01,C00753,CAT005,South,Online,4,507.13,347.33,159.8,0.3151,0.041,4
O000236,2024-01-11,2024-01,C00632,CAT002,South,Marketplace,1,127.57,83.57,44,0.3449,0.157,1
O000237,2024-01-17,2024-01,C01067,CAT003,Northeast,Retail Store,3,610.21,371,239.21,0.392,0.005,1
O000238,2024-01-05,2024-01,C00333,CAT002,South,Online,1,118.65,79.88,38.77,0.3268,0.1,1
