customer_id,region,segment,signup_date,signup_month
C00082,Midwest,New,2024-09-24,2024-09
C00083,South,New,2024-10-24,2024-10
C00084,West,Returning,2024-05-12,2024-05
C00085,Northeast,Loyalty,2024-10-01,2024-10
C00086,Midwest,Returning,2024-11-19,2024-11
C00087,West,Loyalty,2024-06-01,2024-06
C00088,West,Loyalty,2024-01-18,2024-01
C00089,Northeast,New,2024-07-27,2024-07
C00090,Midwest,Loyalty,2024-10-24,2024-10
C00091,Midwest,Returning,2024-11-02,2024-11
C00092,Midwest,Loyalty,2024-01-16,2024-01
C00093,South,Loyalty,2024-06-02,2024-06
C00094,West,New,2024-09-04,2024-09
C00095,Northeast,Loyalty,2024-11-09,2024-11
C00096,South,New,2024-04-19,2024-04
C00097,Midwest,New,2024-11-26,2024-11
C00098,West,Loyalty,2024-09-06,2024-09
C00099,Northeast,Returning,2024-05-21,2024-05
C00100,Midwest,New,2024-11-04,2024-11
C00101,Northeast,New,2024-10-13,2024-10
C00102,West,Returning,2024-07-27,2024-07
C00103,Midwest,Loyalty,2024-04-27,2024-04
C00104,South,New,2024-11-24,2024-11
C00105,Northeast,Returning,2024-11-24,2024-11
C00106,West,Loyalty,2024-05-25,2024-05
C00107,West,Returning,2024-11-24,2024-11
C00108,Midwest,Returning,2024-07-13,2024-07
C00109,Midwest,Loyalty,2024-05-19,2024-05
C00110,Northeast,Loyalty,2024-07-22,2024-07
C00111,South,Returning,2024-09-06,2024-09
C00112,South,Loyalty,2024-01-17,2024-01
C00113,Midwest,New,2024-07-21,2024-07
C00114,Northeast,New,2024-06-04,2024-06
C00115,South,Returning,2024-06-08,2024-06
C00116,Midwest,Returning,2024-08-14,2024-08
C00117,South,Returning,2024-03-13,2024-03
C00118,Midwest,Returning,2024-07-20,2024-07
C00119,Midwest,Returning,2024-08-03,2024-08
C00120,South,New,2024-12-23,2024-12
C00121,West,Loyalty,2024-05-17,2024-05
C00122,West,Loyalty,2024-03-20,2024-03
C00123,Midwest,Returning,2024-09-10,2024-09
C00124,Midwest,Returning,2024-06-16,2024-06
C00125,Midwest,New,2024-04-21,2024-04
C00126,West,Returning,2024-03-13,2024-03
C00127,West,Loyalty,2024-09-20,2024-09
C00128,West,Returning,2024-11-17,2024-11
C00129,Midwest,Loyalty,2024-10-26,2024-10
C00130,Northeast,Returning,2024-12-04,2024-12
C00131,Midwest,Returning,2024-05-10,2024-05
C00132,Midwest,Returning,2024-03-21,2024-03
C00133,West,Loyalty,2024-06-11,2024-06
C00134,West,New,2024-11-23,2024-11
C00135,South,New,2024-08-08,2024-08
C00136,West,New,2024-03-16,2024-03
C00137,Northeast,New,2024-07-25,2024-07
C00138,West,New,2024-09-15,2024-09
C00139,West,Loyalty,2024-09-25,2024-09
C00140,West,Loyalty,2024-02-02,2024-02
C00141,Northeast,Loyalty,2024-05-22,2024-05
C00142,Northeast,New,2024-08-14,2024-08
C00143,West,Loyalty,2024-05-27,2024-05
C00144,South,Loyalty,2024-11-10,2024-11
C00145,West,Returning,2024-01-01,2024-01
C00146,Northeast,Loyalty,2024-03-27,2024-03
C00147,Northeast,Returning,2024-12-07,2024-12
C00148,Northeast,Returning,2024-10-14,2024-10
C00149,South,Returning,2024-05-07,2024-05
C00150,Midwest,New,2024-05-07,2024-05
C00151,South,Loyalty,2024-03-19,2024-03
C00152,Northeast,Loyalty,2024-04-25,2024-04
C00153,South,New,2024-08-08,2024-08
C00154,South,Returning,2024-11-25,2024-11
C00155,Northeast,Loyalty,2024-02-25,2024-02
C00156,South,Returning,2024-08-01,2024-08
C00157,Northeast,Loyalty,2024-09-12,2024-09
C00158,South,Returning,2024-02-23,2024-02
C00159,South,Returning,2024-12-25,2024-12
C00160,Northeast,Loyalty,2024-09-09,2024-09
C00161,West,Loyalty,2024-11-24,2024-11
C00162,South,Returning,2024-12-16,2024-12
C00163,South,Returning,2024-05-04,2024-05
C00164,West,New,2024-03-01,2024-03
C00165,West,Returning,2024-09-14,2024-09
C00166,South,Returning,2024-10-13,2024-10
C00167,South,Returning,2024-02-17,2024-02
C00168,Midwest,Loyalty,2024-07-11,2024-07
C00169,South,New,2024-12-07,2024-12
C00170,South,New,2024-06-22,2024-06
C00171,South,New,2024-03-23,2024-03
C00172,Midwest,New,2024-09-11,2024-09
C00173,West,Loyalty,2024-06-02,2024-06
C00174,Midwest,New,2024-04-03,2024-04
C00175,West,New,2024-10-26,2024-10
C00176,West,Returning,2024-06-22,2024-06
C00177,South,New,2024-05-01,2024-05
C00178,South,Returning,2024-02-14,2024-02
C00179,West,Loyalty,2024-02-23,2024-02
C00180,Midwest,New,2024-12-02,2024-12
C00181,West,Returning,2024-12-18,2024-12
C00182,South,New,2024-08-07,2024-08
C00183,South,Returning,2024-03-27,2024-03
C00184,Northeast,New,2024-07-06,2024-07
C00185,South,Returning,2024-08-19,2024-08
C00186,West,Loyalty,2024-12-20,2024-12
C00187,West,New,2024-02-02,2024-02
C00188,Midwest,Loyalty,2024-03-12,2024-03
C00189,Northeast,Returning,2024-02-12,2024-02
C00190,Midwest,New,2024-04-13,2024-04
C00191,West,New,2024-09-10,2024-09
C00192,South,Loyalty,2024-10-03,2024-10
C00193,Midwest,New,2024-06-22,2024-06
C00194,South,Loyalty,2024-06-24,2024-06
C00195,Midwest,New,2024-01-03,2024-01
C00196,Midwest,Returning,2024-01-26,2024-01
C00197,South,Returning,2024-12-01,2024-12
C00198,Northeast,Returning,2024-06-14,2024-06
C00199,Midwest,Returning,2024-05-12,2024-05
C00200,West,Returning,2024-04-07,2024-04
C00201,Midwest,Loyalty,2024-05-05,2024-05
C00202,Northeast,Loyalty,2024-08-22,2024-08
C00203,Midwest,New,2024-10-12,2024-10
C00204,South,New,2024-02-08,2024-02
C00205,Midwest,New,2024-10-19,2024-10
C00206,South,Loyalty,2024-07-27,2024-07
C00207,South,New,2024-01-18,2024-01
C00208,Midwest,Returning,2024-07-17,2024-07
C00209,Midwest,Returning,2024-08-18,2024-08
C00210,South,Returning,2024-10-24,2024-10
C00211,Midwest,New,2024-05-26,2024-05
C00212,South,New,2024-02-20,2024-02
C00213,West,New,2024-07-17,2024-07
C00214,South,Loyalty,2024-04-13,2024-04
C00215,South,New,2024-09-14,2024-09
C00216,South,Returning,2024-10-22,2024-10
C00217,West,New,2024-12-20,2024-12
C00218,West,New,2024-05-18,2024-05
C00219,Northeast,Returning,2024-01-23,2024-01
C00220,Midwest,Loyalty,2024-08-22,2024-08
C00221,Northeast,Returning,2024-03-21,2024-03
C00222,South,Returning,2024-03-17,2024-03
C00223,South,New,2024-05-26,2024-05
C00224,West,New,2024-07-07,2024-07
C00225,Midwest,New,2024-07-15,2024-07
C00226,West,New,2024-07-21,2024-07
C00227,West,New,2024-05-04,2024-05
C00228,South,New,2024-11-19,2024-11
C00229,South,Loyalty,2024-09-06,2024-09
C00230,South,New,2024-02-14,2024-02
C00231,Northeast,New,2024-05-16,2024-05
C00232,South,New,2024-06-12,2024-06
C00233,Midwest,New,2024-05-07,2024-05
C00234,West,Loyalty,2024-01-19,2024-01
C00235,Northeast,Returning,2024-12-13,2024-12
C00236,South,Loyalty,2024-09-16,2024-09
C00237,Northeast,Loyalty,2024-05-21,2024-05
C00238,Northeast,Loyalty,2024-02-16,2024-02
C00239,Northeast,Loyalty,2024-07-21,2024-07
C00240,South,New,2024-12-01,2024-12
C00241,South,Returning,2024-07-01,2024-07
C00242,Northeast,Loyalty,2024-04-08,2024-04
C00243,West,Loyalty,2024-11-26,2024-11
C00244,West,Loyalty,2024-09-11,2024-09
C00245,Midwest,Returning,2024-11-21,2024-11
C00246,South,Loyalty,2024-12-16,2024-12
C00247,Northeast,Loyalty,2024-05-13,2024-05
C00248,Midwest,Loyalty,2024-07-11,2024-07
C00249,West,New,2024-01-26,2024-01
C00250,Midwest,Loyalty,2024-12-10,2024-12
C00251,Midwest,Returning,2024-01-11,2024-01
C00252,Northeast,Returning,2024-04-08,2024-04
C00253,South,Returning,2024-05-06,2024-05
C00254,Northeast,Returning,2024-03-06,2024-03
C00255,Midwest,Loyalty,2024-03-27,2024-03
C00256,West,Loyalty,2024-01-03,2024-01
C00257,West,Loyalty,2024-10-07,2024-10
C00258,South,Loyalty,2024-06-17,2024-06
C00259,Northeast,Returning,2024-02-19,2024-02
C00260,South,Loyalty,2024-03-18,2024-03
C00261,West,Loyalty,2024-04-09,2024-04
C00262,Northeast,New,2024-05-25,2024-05
C00263,West,Returning,2024-11-09,2024-11
C00264,South,Loyalty,2024-08-23,2024-08
C00265,South,New,2024-07-15,2024-07
C00266,Midwest,New,2024-02-05,2024-02
C00267,Northeast,New,2024-11-23,2024-11
C00268,South,Loyalty,2024-03-21,2024-03
C00269,South,Returning,2024-12-20,2024-12
C00270,South,Loyalty,2024-04-26,2024-04
C00271,South,New,2024-02-05,2024-02
C00272,Northeast,Loyalty,2024-10-24,2024-10
C00273,South,New,2024-11-20,2024-11
C00274,West,Returning,2024-04-03,2024-04
C00275,West,Returning,2024-03-16,2024-03
C00276,South,New,2024-03-22,2024-03
C00277,West,Returning,2024-01-20,2024-01
C00278,Midwest,New,2024-09-13,2024-09
C00279,South,Loyalty,2024-09-17,2024-09
C00280,Northeast,Loyalty,2024-06-26,2024-06
C00281,West,New,2024-10-05,2024-10
C00282,South,Returning,2024-02-03,2024-02
C00283,Midwest,Returning,2024-01-02,2024-01
C00284,Northeast,New,2024-05-15,2024-05
C00285,Northeast,Loyalty,2024-02-27,2024-02
C00286,South,Returning,2024-01-16,2024-01
C00287,West,Loyalty,2024-11-02,2024-11
C00288,Midwest,Returning,2024-04-05,2024-04
C00289,Northeast,Loyalty,2024-09-16,2024-09
C00290,Northeast,Returning,2024-05-18,2024-05
C00291,Northeast,Returning,2024-01-27,2024-01
C00292,South,Returning,2024-05-27,2024-05
C00293,Midwest,Loyalty,2024-04-25,2024-04
C00294,Midwest,New,2024-05-05,2024-05
C00295,West,New,2024-11-19,2024-11
C00296,Midwest,Returning,2024-09-03,2024-09
C00297,Northeast,New,2024-04-27,2024-04
C00298,West,New,2024-12-17,2024-12
C00299,Midwest,Loyalty,2024-12-09,2024-12
C00300,West,New,2024-01-18,2024-01
C00301,South,New,2024-12-10,2024-12
C00302,Northeast,Returning,2024-06-22,2024-06
C00303,Northeast,New,2024-06-14,2024-06
C00304,South,Loyalty,2024-08-09,2024-08
C00305,Midwest,Loyalty,2024-07-16,2024-07
C00306,South,Returning,2024-06-13,2024-06
C00307,South,Returning,2024-12-14,2024-12
C00308,West,New,2024-09-16,2024-09
C00309,Midwest,Returning,2024-03-12,2024-03
C00310,Midwest,New,2024-09-18,2024-09
C00311,South,Loyalty,2024-09-25,2024-09
C00312,Midwest,New,2024-11-21,2024-11
C00313,Northeast,New,2024-05-22,2024-05
C00314,Midwest,New,2024-02-21,2024-02
C00315,South,Returning,2024-05-21,2024-05
C00316,South,New,2024-06-07,2024-06
C00317,South,Returning,2024-01-12,2024-01
C00318,West,Loyalty,2024-07-06,2024-07
C00319,Midwest,Loyalty,2024-06-06,2024-06
C00320,South,Loyalty,2024-05-03,2024-05
C00321,South,Returning,2024-04-22,2024-04
C00322,West,New,2024-03-04,2024-03
C00323,Midwest,New,2024-08-25,2024-08
C00324,Midwest,Loyalty,2024-09-05,2024-09
C00325,Midwest,New,2024-10-18,2024-10
C00326,Northeast,Returning,2024-11-26,2024-11
C00327,South,New,2024-06-20,2024-06
C00328,West,New,2024-06-12,2024-06
C00329,Northeast,New,2024-05-01,2024-05
C00330,Midwest,New,2024-04-03,2024-04
C00331,Northeast,New,2024-05-15,2024-05
C00332,Midwest,Returning,2024-04-02,2024-04
C00333,South,Returning,2024-04-22,2024-04
C00334,South,Loyalty,2024-01-04,2024-01
C00335,Northeast,Loyalty,2024-03-10,2024-03
C00336,Northeast,Returning,2024-03-15,2024-03
C00337,Northeast,Loyalty,2024-09-10,2024-09
C00338,South,Returning,2024-03-08,2024-03
C00339,Midwest,Returning,2024-11-21,2024-11
C00340,Northeast,Loyalty,2024-02-27,2024-02
C00341,West,Returning,2024-10-06,2024-10
C00342,Midwest,New,2024-04-18,2024-04
C00343,South,New,2024-09-24,2024-09
C00344,Northeast,New,2024-07-12,2024-07
C00345,Northeast,New,2024-06-16,2024-06
C00346,Midwest,Returning,2024-01-03,2024-01
C00347,Northeast,Loyalty,2024-02-12,2024-02
C00348,South,Loyalty,2024-04-15,2024-04
C00349,West,Loyalty,2024-10-27,2024-10
C00350,West,New,2024-12-16,2024-12
C00351,West,New,2024-05-17,2024-05
C00352,South,Returning,2024-11-22,2024-11
C00353,South,Loyalty,2024-07-15,2024-07
C00354,Northeast,Returning,2024-12-21,2024-12
C00355,Northeast,New,2024-06-16,2024-06
C00356,Northeast,New,2024-06-08,2024-06
C00357,West,New,2024-02-07,2024-02
C00358,South,New,2024-11-25,2024-11
C00359,Midwest,Loyalty,2024-02-19,2024-02
C00360,Midwest,Loyalty,2024-02-25,2024-02
C00361,Northeast,New,2024-07-01,2024-07
C00362,South,Loyalty,2024-07-07,2024-07
C00363,Northeast,Returning,2024-12-21,2024-12
C00364,Midwest,Loyalty,2024-10-24,2024-10
C00365,Midwest,Loyalty,2024-10-20,2024-10
C00366,Northeast,New,2024-05-07,2024-05
C00367,Northeast,Loyalty,2024-05-27,2024-05
C00368,Northeast,Loyalty,2024-11-02,2024-11
C00369,South,Returning,2024-11-12,2024-11
C00370,Midwest,Loyalty,2024-07-12,2024-07
C00371,South,New,2024-05-07,2024-05
C00372,Midwest,Returning,2024-01-19,2024-01
C00373,Midwest,Returning,2024-04-11,2024-04
C00374,West,Loyalty,2024-06-26,2024-06
C00375,West,Returning,2024-07-12,2024-07
C00376,South,New,2024-06-18,2024-06
C00377,South,Loyalty,2024-10-14,2024-10
C00378,Northeast,Loyalty,2024-12-25,2024-12
C00379,West,Loyalty,2024-03-02,2024-03
C00380,West,New,2024-08-11,2024-08
C00381,South,Returning,2024-11-10,2024-11
C00382,West,New,2024-11-15,2024-11
C00383,South,Returning,2024-08-10,2024-08
C00384,West,Loyalty,2024-11-14,2024-11
C00385,South,Returning,2024-09-03,2024-09
C00386,West,Loyalty,2024-05-12,2024-05
C00387,South,Loyalty,2024-09-18,2024-09
C00388,Northeast,Loyalty,2024-10-15,2024-10
C00389,Midwest,Loyalty,2024-07-15,2024-07
C00390,West,Loyalty,2024-11-03,2024-11
C00391,Northeast,Loyalty,2024-08-25,2024-08
C00392,Midwest,Loyalty,2024-02-08,2024-02
C00393,West,Loyalty,2024-02-18,2024-02
C00394,Midwest,New,2024-04-11,2024-04
C00395,West,New,2024-02-14,2024-02
C00396,Midwest,Returning,2024-07-05,2024-07
C00397,Northeast,Loyalty,2024-09-09,2024-09
C00398,Northeast,Returning,2024-02-14,2024-02
C00399,South,Returning,2024-06-05,2024-06
C00400,Midwest,Loyalty,2024-12-02,2024-12
C00401,Midwest,Loyalty,2024-01-02,2024-01
C00402,West,Returning,2024-04-23,2024-04
C00403,West,Returning,2024-01-20,2024-01
C00404,West,Loyalty,2024-08-07,2024-08
C00405,West,Returning,2024-03-05,2024-03
C00406,Northeast,New,2024-02-21,2024-02
C00407,Midwest,New,2024-04-12,2024-04
C00408,South,New,2024-11-14,2024-11
C00409,Northeast,New,2024-07-15,2024-07
C00410,South,New,2024-12-07,2024-12
C00411,South,Loyalty,2024-04-11,2024-04
C00412,West,Returning,2024-09-25,2024-09
C00413,Midwest,New,2024-10-16,2024-10
C00414,Northeast,Returning,2024-10-20,2024-10
C00415,South,Loyalty,2024-05-21,2024-05
C00416,Midwest,Returning,2024-06-27,2024-06
C00417,South,Returning,2024-01-14,2024-01
C00418,Northeast,Returning,2024-01-15,2024-01
C00419,South,New,2024-08-08,2024-08
C00420,West,New,2024-08-07,2024-08
C00421,Northeast,Loyalty,2024-11-02,2024-11
C00422,West,New,2024-04-04,2024-04
C00423,Midwest,Loyalty,2024-09-25,2024-09
C00424,Midwest,New,2024-03-19,2024-03
C00425,West,New,2024-02-22,2024-02
C00426,Midwest,Loyalty,2024-05-07,2024-05
C00427,West,Loyalty,2024-10-13,2024-10
C00428,Northeast,Returning,2024-04-09,2024-04
C00429,South,Loyalty,2024-12-16,2024-12
C00430,Northeast,New,2024-07-23,2024-07
C00431,Midwest,Loyalty,2024-01-13,2024-01
C00432,Northeast,Returning,2024-01-01,2024-01
C00433,Northeast,Returning,2024-06-02,2024-06
C00434,Northeast,Loyalty,2024-07-06,2024-07
C00435,Northeast,Returning,2024-10-27,2024-10
C00436,Midwest,Loyalty,2024-02-12,2024-02
C00437,Northeast,Returning,2024-06-13,2024-06
C00438,Northeast,New,2024-02-25,2024-02
C00439,Midwest,Returning,2024-01-20,2024-01
C00440,West,Loyalty,2024-01-19,2024-01
C00441,Northeast,New,2024-12-14,2024-12
C00442,Northeast,New,2024-12-08,2024-12
C00443,West,Loyalty,2024-07-21,2024-07
C00444,Midwest,Loyalty,2024-06-08,2024-06
C00445,Midwest,Loyalty,2024-01-10,2024-01
C00446,Northeast,New,2024-12-02,2024-12
C00447,South,New,2024-04-06,2024-04
C00448,Northeast,New,2024-01-23,2024-01
C00449,South,Returning,2024-04-07,2024-04
C00450,Northeast,Returning,2024-10-13,2024-10
C00451,Northeast,Returning,2024-12-23,2024-12
C00452,West,Loyalty,2024-03-06,2024-03
C00453,South,Returning,2024-07-23,2024-07
C00454,South,New,2024-05-15,2024-05
C00455,Northeast,Returning,2024-11-02,2024-11
C00456,West,Returning,2024-04-13,2024-04
C00457,Northeast,New,2024-11-16,2024-11
C00458,Northeast,Loyalty,2024-08-27,2024-08
C00459,South,Returning,2024-03-15,2024-03
C00460,West,Returning,2024-10-01,2024-10
C00461,Northeast,Loyalty,2024-03-22,2024-03
C00462,West,Loyalty,2024-08-22,2024-08
C00463,West,New,2024-08-08,2024-08
C00464,South,Returning,2024-07-16,2024-07
C00465,Midwest,Returning,2024-06-01,2024-06
C00466,West,Returning,2024-05-21,2024-05
C00467,West,Returning,2024-12-06,2024-12
C00468,Midwest,Loyalty,2024-04-12,2024-04
C00469,Midwest,New,2024-07-26,2024-07
C00470,South,Loyalty,2024-12-26,2024-12
C00471,South,Returning,2024-02-05,2024-02
C00472,West,Loyalty,2024-06-10,2024-06
C00473,South,Loyalty,2024-10-20,2024-10
C00474,South,Loyalty,2024-11-12,2024-11
C00475,Midwest,Returning,2024-10-19,2024-10
C00476,West,Loyalty,2024-02-02,2024-02
C00477,West,Returning,2024-06-25,2024-06
C00478,Northeast,Returning,2024-12-22,2024-12
C00479,Midwest,Loyalty,2024-04-15,2024-04
C00480,West,Returning,2024-05-26,2024-05
C00481,West,Returning,2024-04-21,2024-04
C00482,West,New,2024-04-07,2024-04
C00483,Midwest,New,2024-11-26,2024-11
C00484,Northeast,Returning,2024-05-18,2024-05
C00485,South,Loyalty,2024-03-13,2024-03
C00486,Midwest,Returning,2024-03-25,2024-03
C00487,West,New,2024-06-11,2024-06
C00488,South,Loyalty,2024-04-13,2024-04
C00489,Midwest,Returning,2024-02-26,2024-02
C00490,Northeast,Loyalty,2024-11-12,2024-11
C00491,West,Returning,2024-01-15,2024-01
C00492,Northeast,Returning,2024-12-16,2024-12
C00493,Northeast,New,2024-01-24,2024-01
C00494,West,New,2024-05-19,2024-05
C00495,Northeast,Returning,2024-12-27,2024-12
C00496,West,Returning,2024-05-04,2024-05
C00497,Midwest,New,2024-06-08,2024-06
C00498,Northeast,Loyalty,2024-09-07,2024-09
C00499,West,Loyalty,2024-10-24,2024-10
C00500,South,Returning,2024-11-12,2024-11
C00501,Northeast,Returning,2024-01-02,2024-01
C00502,South,Loyalty,2024-01-06,2024-01
C00503,South,New,2024-02-20,2024-02
C00504,West,Returning,2024-01-15,2024-01
C00505,Midwest,New,2024-12-26,2024-12
C00506,Northeast,Loyalty,2024-07-15,2024-07
C00507,Midwest,Returning,2024-11-07,2024-11
C00508,West,New,2024-06-24,2024-06
C00509,Northeast,Loyalty,2024-05-04,2024-05
C00510,West,Returning,2024-03-26,2024-03
C00511,Northeast,Loyalty,2024-09-27,2024-09
C00512,Midwest,Returning,2024-02-10,2024-02
C00513,Midwest,New,2024-07-06,2024-07
C00514,Northeast,New,2024-04-17,2024-04
C00515,Midwest,Returning,2024-06-20,2024-06
C00516,Midwest,Loyalty,2024-04-10,2024-04
C00517,Midwest,Loyalty,2024-10-26,2024-10
C00518,South,Loyalty,2024-06-24,2024-06
C00519,South,Returning,2024-03-20,2024-03
C00520,West,Returning,2024-10-15,2024-10
C00521,West,Returning,2024-04-01,2024-04
C00522,Midwest,New,2024-06-07,2024-06
C00523,Midwest,Returning,2024-04-20,2024-04
C00524,Midwest,Loyalty,2024-01-16,2024-01
C00525,West,Loyalty,2024-01-12,2024-01
C00526,West,New,2024-12-23,2024-12
C00527,Midwest,Loyalty,2024-05-08,2024-05
C00528,Northeast,Loyalty,2024-04-12,2024-04
C00529,Midwest,Loyalty,2024-03-21,2024-03
C00530,South,Loyalty,2024-07-01,2024-07
C00531,Midwest,New,2024-03-04,2024-03
C00532,Northeast,Returning,2024-02-12,2024-02
C00533,South,New,2024-09-18,2024-09
C00534,Midwest,New,2024-07-18,2024-07
C00535,Northeast,New,2024-11-23,2024-11
C00536,South,New,2024-04-05,2024-04
C00537,Northeast,New,2024-07-27,2024-07
C00538,Northeast,Returning,2024-02-06,2024-02
C00539,South,Returning,2024-12-18,2024-12
C00540,Midwest,Loyalty,2024-08-03,2024-08
C00541,West,New,2024-08-01,2024-08
C00542,Midwest,Loyalty,2024-06-06,2024-06
C00543,South,Returning,2024-12-05,2024-12
C00544,Northeast,New,2024-02-23,2024-02
C00545,Northeast,New,2024-09-24,2024-09
C00546,West,New,2024-12-23,2024-12
C00547,West,New,2024-11-11,2024-11
C00548,South,New,2024-05-16,2024-05
C00549,Midwest,Returning,2024-11-26,2024-11
C00550,West,Loyalty,2024-11-12,2024-11
C00551,South,New,2024-03-18,2024-03
C00552,South,New,2024-09-21,2024-09
C00553,West,New,2024-07-02,2024-07
C00554,Northeast,Loyalty,2024-06-23,2024-06
C00555,Northeast,Returning,2024-07-14,2024-07
C00556,West,Returning,2024-06-12,2024-06
C00557,Midwest,New,2024-04-27,2024-04
C00558,West,Returning,2024-09-15,2024-09
C00559,Midwest,Returning,2024-10-25,2024-10
C00560,South,Returning,2024-07-15,2024-07
C00561,West,Loyalty,2024-04-16,2024-04
C00562,Midwest,Returning,2024-05-19,2024-05
C00563,Midwest,Returning,2024-01-09,2024-01
C00564,Northeast,Returning,2024-04-22,2024-04
C00565,Midwest,Returning,2024-05-03,2024-05
C00566,South,Loyalty,2024-08-20,2024-08
C00567,West,Loyalty,2024-06-19,2024-06
C00568,Midwest,New,2024-02-05,2024-02
C00569,West,Returning,2024-09-25,2024-09
C00570,West,New,2024-06-07,2024-06
C00571,South,Loyalty,2024-07-26,2024-07
C00572,West,New,2024-07-06,2024-07
C00573,Midwest,New,2024-06-06,2024-06
C00574,South,Returning,2024-07-21,2024-07
C00575,West,Loyalty,2024-10-03,2024-10
C00576,South,Returning,2024-07-23,2024-07
C00577,Northeast,Loyalty,2024-10-18,2024-10
C00578,Midwest,New,2024-10-08,2024-10
C00579,Midwest,Loyalty,2024-09-24,2024-09
C00580,South,New,2024-03-14,2024-03
C00581,Midwest,New,2024-02-25,2024-02
C00582,Midwest,New,2024-05-03,2024-05
C00583,Midwest,New,2024-10-15,2024-10
C00584,South,Loyalty,2024-09-16,2024-09
C00585,Midwest,Loyalty,2024-03-16,2024-03
C00586,Midwest,Returning,2024-09-24,2024-09
C00587,West,Returning,2024-12-05,2024-12
C00588,West,Loyalty,2024-08-17,2024-08
C00589,South,Loyalty,2024-05-27,2024-05
C00590,Northeast,Loyalty,2024-07-13,2024-07
C00591,Midwest,Returning,2024-08-09,2024-08
C00592,Midwest,New,2024-03-25,2024-03
C00593,South,Loyalty,2024-01-22,2024-01
